casenumber,counts,location,month,offense_desc,reported_date,reporting_officer,statute_code,statute_desc,year,hour,minute,day,lon,lat
2018-00029103,1,15 Cargill St,3,Burglary,2018-03-22 20:28:00,MSepe,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,20,28,22,-71.422539,41.819783
2018-00028933,1,1 William Ellery Pl,3,Vandalism,2018-03-22 09:29:00,AHampton,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,9,29,22,-71.407051,41.837996999999994
2018-00029056,1,Charles St At Silver Spring St,3,Traffic Violation,2018-03-22 16:48:00,MTroia,31-8-2,Operation of MV When Registration Canceled,2018,16,48,22,,
2018-00500355,1,25 Sherwood St,3,"Larceny, Other",2018-03-21 17:09:55,TPickering,11-41-1,LARCENY/U $1500 - OTH LAR,2018,17,9,21,-71.4319106,41.8497782
2018-00026041,2,73 Indiana Ave,3,"Larceny, Other",2018-03-13 22:18:00,MSullivan,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,22,18,13,-71.3932578,41.7912297
2017-00128090,1,Glenham St At Broad St,12,Traffic Violation,2017-12-06 16:44:00,RByfield,31-3-1,Operation of Unregistered Vehicle,2017,16,44,6,,
2018-00029134,1,381 Wickenden St,3,"Assault, Aggravated",2018-03-22 22:12:00,SSousa,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2018,22,12,22,-71.39563079999998,41.819545
2018-00029061,1,83 Ethan St,3,"Larceny, Other",2018-03-22 17:02:00,MCamardo,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,17,2,22,-71.4593515,41.80787
2018-00029084,1,328 Atwells Ave,3,Vandalism,2018-03-22 18:39:00,DJohnson,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,18,39,22,-71.4272333,41.8236164
2018-00028991,1,62 Harwol Ct,3,Disorderly Conduct,2018-03-22 13:45:00,Central Station,11-45-1,DISORDERLY CONDUCT,2018,13,45,22,-71.434265,41.852238
2018-00500359,1,105 Wilson St,3,Larceny from Motor Vehicle,2018-03-20 11:49:52,TPickering,11-41-1,LARCENY/U $1500 - FROM MV,2018,11,49,20,-71.42699920000003,41.81174910000001
2018-00026403,1,776 Douglas Ave ,3,"Assault, Simple",2018-03-14 23:26:00,RMalloy,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,23,26,14,-71.41673359999999,41.834790399999996
2018-00029021,1,953 Broad St,3,"Larceny, Other",2018-03-22 15:12:00,JSmith,11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,2018,15,12,22,-71.4153121,41.7983611
2017-00105697,0,1917 Westminster St,10,Request for Assistance,2017-10-09 16:39:00,Central Station,Not Used,No violations,2017,16,39,9,-71.4421135,41.81693170000001
2017-00113431,1,Elmwood Ave At Lenox Ave,10,Traffic Violation,2017-10-29 01:01:00,MPlace,31-13-4,Obedience to Traffic Control Devices,2017,1,1,29,,
2018-00023402,1,74 Beaufort St,3,"Assault, Aggravated",2018-03-06 02:29:00,RSavage,11-5-2,FELONY ASSAULT,2018,2,29,6,-71.447096,41.8303948
2017-00135776,0,627 Cranston St,12,Medical Aid,2017-12-28 19:04:00,LPelaez,Not Used,No violations,2017,19,4,28,-71.43639759999998,41.80680770000001
2018-00003635,1,80 Glover St,1,Motor Vehicle Theft,2018-01-11 09:05:00,JAndrade,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,9,5,11,-71.4480258,41.8347
2017-00135637,1,10 Admiral St,12,Vandalism,2017-12-28 12:00:00,WDickie,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,12,0,28,-71.4184675,41.840576
2017-00135878,1,Potters Ave At Elmwood Ave,12,Traffic Violation,2017-12-29 01:17:00,JLopes,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,1,17,29,,
2017-00135884,1,Depasquale Ave At Africa St,12,Warrant\Capias,2017-12-29 01:31:00,MGuerra,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2017,1,31,29,,
2017-00135617,0,10 Dorrance St,12,Lost Article,2017-12-28 10:55:00,Central Station,Not Used,No violations,2017,10,55,28,-71.4117212,41.8240521
2017-00134011,1,Camp St At Cypress St,12,"Assault, Aggravated",2017-12-23 03:33:00,RSavage,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2017,3,33,23,,
2017-00133312,1,Frederick St At Smith St,12,Traffic Violation,2017-12-21 09:35:00,MMoonan,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,9,35,21,,
2018-00003773,1,413 Pine St,1,RI Statute Violation,2018-01-11 15:59:00,ALevesque,11-59-3,VIOLATION OF RESTRAINING ORDER,2018,15,59,11,-71.4181312,41.81432120000001
2018-00022839,1,48 Parkis Ave,3,"Larceny, Other",2018-03-04 12:33:08,KWigginton,11-41-1,LARCENY/U $1500 - OTH LAR,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Larceny, Other",2018-03-04 12:33:08,KWigginton,11-41-1,LARCENY/U $1500 - OTH LAR,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Larceny, Other",2018-03-04 12:33:08,KWigginton,11-41-1,LARCENY/U $1500 - OTH LAR,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Larceny, Other",2018-03-04 12:33:08,KWigginton,11-41-1,LARCENY/U $1500 - OTH LAR,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Larceny, Other",2018-03-04 12:33:08,KWigginton,11-41-1,LARCENY/U $1500 - OTH LAR,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Larceny, Other",2018-03-04 12:33:08,KWigginton,11-41-1,LARCENY/U $1500 - OTH LAR,2018,12,33,4,-71.4235585,41.808936
2018-00003694,1,Petteys Ave At Killingly St,1,Drug Offenses,2018-01-11 11:30:00,ECuellar,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,11,30,11,,
2018-00003898,0,136 Knight St,1,Missing Persons,2018-01-11 23:17:00,Central Station,Not Used,No violations,2018,23,17,11,-71.43037629999998,41.8212509
2017-00128578,1,210 Blackstone Blvd,12,RI Statute Violation,2017-12-07 21:47:00,HNorthup,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2017,21,47,7,-71.38627659999999,41.8404098
2017-00135608,1,95 Burnett St,12,Robbery,2017-12-28 10:25:00,EFernandez,11-39-1,ROBBERY-2ND DEGREE,2017,10,25,28,-71.4281344,41.803111
2018-00003740,0,31 Horton St,1,Lost Article,2018-01-11 14:32:00,EBreault,Not Used,No violations,2018,14,32,11,-71.4142592,41.852717
2017-00113360,0,129 Pembroke Ave,10,Assistance Rendered,2017-10-28 22:02:00,DHarrington,Not Used,No violations,2017,22,2,28,-71.4295437,41.8401029
2018-00003807,1,Broad St At Moore St,1,Motor Vehicle Theft,2018-01-11 17:34:00,JStanzione,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,17,34,11,,
2018-00003889,1,136 Petteys Ave,1,Burglary,2018-01-11 22:37:00,MRudolph,11-8-1,BURGLARY,2018,22,37,11,-71.4614172,41.8165449
2018-00003712,1,Broad St At Franklin St,1,Traffic Violation,2018-01-11 13:48:00,ITavarez,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",2018,13,48,11,,
2018-00003907,1,233 Weybosset St,1,Vandalism,2018-01-11 23:39:48,ADaCruz,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,23,39,11,-71.4097137,41.824475
2018-00500357,1,89 Homer St,3,"Larceny, Other",2018-03-21 10:33:20,TPickering,11-41-1,LARCENY/U $1500 - OTH LAR,2018,10,33,21,-71.4073738,41.7878134
2018-00029003,0,160 Broad St,3,Lost Article,2018-03-22 14:34:00,Central Station,Not Used,No violations,2018,14,34,22,-71.4171575,41.8166844
2018-00029003,0,160 Broad St,3,Lost Article,2018-03-22 14:34:00,Central Station,Not Used,No violations,2018,14,34,22,-71.4171575,41.8166844
2018-00029003,0,160 Broad St,3,Lost Article,2018-03-22 14:34:00,Central Station,Not Used,No violations,2018,14,34,22,-71.4171575,41.8166844
2017-00113082,1,53 Lauriston St,10,"Assault, Simple",2017-10-28 08:21:00,AHampton,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,8,21,28,-71.3957528,41.8486619
2018-00010322,1,64 June St,1,Vandalism,2018-01-29 15:53:56,KMelfi,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,15,53,29,-71.42455184210529,41.842979105263204
2017-00128571,1,106 Oakland Ave,12,"Assault, Aggravated",2017-12-07 21:28:00,MClary,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2017,21,28,7,-71.4302676,41.8373878
2017-00128372,1,245 Lockwood St,12,Burglary,2017-12-07 12:27:00,JRodrigues,11-8-1,BURGLARY,2017,12,27,7,-71.4114265257732,41.812435257732
2017-00128414,1,331 Douglas Ave,12,Municipal Code Violation,2017-12-07 14:50:00,MPena,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2017,14,50,7,-71.4259474,41.8397784
2018-00028935,0,373 Richmond St,3,Assistance Rendered,2018-03-22 10:02:00,RChin,Not Used,No violations,2018,10,2,22,-71.4077636,41.8168784
2018-00028935,0,373 Richmond St,3,Assistance Rendered,2018-03-22 10:02:00,RChin,Not Used,No violations,2018,10,2,22,-71.4077636,41.8168784
2018-00028942,1,Broad St At Pearl St,3,"Fraud, Swindle",2018-03-22 10:39:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,10,39,22,,
2017-00128578,3,210 Blackstone Blvd,12,"Assault, Simple",2017-12-07 21:47:00,HNorthup,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,21,47,7,-71.38627659999999,41.8404098
2018-00003663,1,70 Oak St,1,"Larceny, Other",2018-01-11 10:30:00,JLeone,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,10,30,11,-71.43544279999998,41.814536
2018-00003663,1,70 Oak St,1,"Larceny, Other",2018-01-11 10:30:00,JLeone,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,10,30,11,-71.43544279999998,41.814536
2018-00003663,1,70 Oak St,1,"Larceny, Other",2018-01-11 10:30:00,JLeone,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,10,30,11,-71.43544279999998,41.814536
2018-00003663,1,70 Oak St,1,"Larceny, Other",2018-01-11 10:30:00,JLeone,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,10,30,11,-71.43544279999998,41.814536
2018-00003663,1,70 Oak St,1,"Larceny, Other",2018-01-11 10:30:00,JLeone,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,10,30,11,-71.43544279999998,41.814536
2017-00128601,1,Douglas Ave At Chalkstone Ave,12,Traffic Violation,2017-12-07 23:23:00,SCampbell,31-11-18,"Driving after Denial, Suspension or Revocation of License",2017,23,23,7,,
2018-00003694,1,Petteys Ave At Killingly St,1,Weapons,2018-01-11 11:30:00,ECuellar,11-47-5,POSS OF ARMS BY CONVICT IN CRIME OF VIOL/FUGITIVE,2018,11,30,11,,
2018-00010481,1,236 Hope ,1,RI Statute Violation,2018-01-30 01:13:00,JPineau,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,2018,1,13,30,-71.5625625,41.733433399999996
2018-00003610,1,176 Atlantic Ave,1,Vandalism,2018-01-11 07:26:24,JDalton,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,7,26,11,-71.4227502,41.7971363
2017-00135714,1,94 Medway St,12,"Larceny, Other",2017-12-28 15:42:00,GSion,11-49-3,THEFT - OBTAINING CREDIT CARD-FELONY - ALL OTH LARCENY,2017,15,42,28,-71.38943509999999,41.8293654
2018-00003866,1,500 Cranston St,1,"Assault, Aggravated",2018-01-11 20:48:00,CCastagliuolo,11-5-1,ASSAULT W/ INTENT TO COMMIT A FELONY - SERIOUS INJURY,2018,20,48,11,-71.4332405714286,41.809703000000006
2018-00029360,1,59 Comstock Ave,3,"Assault, Simple",2018-03-23 15:47:00,ASchneider,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,15,47,23,-71.4180938864482,41.8091425601965
2018-00029559,1,147 Harold St,3,Vandalism,2018-03-24 02:28:00,ESilva,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2018,2,28,24,-71.4386997,41.8309555
2017-00128432,0,939 Douglas Ave,12,Missing Persons,2017-12-07 15:33:00,Central Station,Not Used,No violations,2017,15,33,7,-71.43751429999998,41.8536621
2018-00029350,1,164 Summit Ave,3,"Assault, Simple",2018-03-23 15:18:00,JSherman,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,15,18,23,-71.3984379,41.8520561
2018-00029237,1,302 Douglas Ave,3,Traffic Violation,2018-03-23 08:26:00,VLopez,31-47-9,Operating a MV without Evidence of Insurance,2018,8,26,23,-71.42560588235291,41.8389293529412
2018-00029415,1,50 Dartmouth Ave,3,RI Statute Violation,2018-03-23 18:32:00,JSmith,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,2018,18,32,23,-71.4226661464522,41.8083910335477
2018-00029501,1,51 Pinehurst Ave,3,Municipal Code Violation,2018-03-23 23:54:00,DJohnson,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,23,54,23,-71.4321702,41.8386374
2018-00029440,1,3 Gladstone Street ,3,Municipal Code Violation,2018-03-23 20:17:00,Central Station,Sec. 16-3.A,Disorderly and indecent conduct A - Theatening,2018,20,17,23,-71.41857755501799,41.802596136316
2018-00022874,1,202 Washington Ave,3,Motor Vehicle Theft,2018-03-04 15:01:12,KDemarco,11-41-1,LARCENY/U $1500 - AUTO THEFT,2018,15,1,4,-71.3973008,41.7876573
2018-00029459,1,66 Westfield St,3,RI Statute Violation,2018-03-23 21:31:00,TLambert,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,2018,21,31,23,-71.42638151428571,41.81030178571429
2018-00029508,1,Africa St At Depasquale Ave,3,Larceny from Motor Vehicle,2018-03-23 23:53:00,MGuerra,11-41-1,LARCENY/U $1500 - FROM MV,2018,23,53,23,,
2018-00029125,1,234 Althea St,3,Motor Vehicle Theft,2018-03-22 21:45:36,MClary,11-41-1,LARCENY/O $1500 - AUTO THEFT,2018,21,45,22,-71.43763340000002,41.8087195
2018-00029469,1,Westminster St At Memorial Blvd,3,DUI,2018-03-23 22:13:00,JLopes,31-27-2.1,Chemical Test Refusal,2018,22,13,23,,
2018-00029306,1,Gaspee St At Francis St,3,Warrant\Capias,2018-03-23 12:57:00,VIn,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2018,12,57,23,,
2018-00029268,1,15 Vineyard St,3,Vandalism,2018-03-23 10:50:00,ECraven,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2018,10,50,23,-71.4289748,41.8014956
2018-00029257,1,188 Princeton Ave,3,"Assault, Simple",2018-03-23 09:52:00,NMorales,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,9,52,23,-71.424862984127,41.8052758095238
2018-00029162,1,94 Garfield Ave,3,Disorderly Conduct,2018-03-23 00:34:00,RSavage,11-45-1,DISORDERLY CONDUCT,2018,0,34,23,-71.4319658,41.8359886
2018-00029237,1,302 Douglas Ave,3,Traffic Violation,2018-03-23 08:26:00,VLopez,31-8-2,Operation of MV When Registration Canceled,2018,8,26,23,-71.42560588235291,41.8389293529412
2017-00128456,1,15 Rangeley Ave,12,Burglary,2017-12-07 16:09:00,EBreault,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2017,16,9,7,-71.44517370000001,41.826642
2018-00029376,1,Plenty St At Elmwood Ave,3,Traffic Violation,2018-03-23 16:40:00,RByfield,31-8-2,Operation of MV When Registration Canceled,2018,16,40,23,,
2017-00128443,1,Central St At Broad St,12,Weapons,2017-12-07 16:03:00,BBoudreau,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,2017,16,3,7,,
2018-00002975,1,332 Hawkins St,1,Disorderly Conduct,2018-01-09 13:06:31,LFernandez,11-45-1,DISORDERLY CONDUCT,2018,13,6,9,-71.4188108,41.851817
2018-00003809,1,1477 Broad St,1,"Fraud, Swindle",2018-01-11 17:36:00,Central Station,11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,2018,17,36,11,-71.4028128,41.7869773
2017-00113216,0,Cranston St At Messer St,10,Medical Aid,2017-10-28 16:41:00,SIm,Not Used,No violations,2017,16,41,28,,
2017-00112609,1,259 Atwells Ave,10,Vandalism,2017-10-27 09:09:15,MCaraccia,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,9,9,27,-71.4272333,41.8236164
2018-00003694,1,Petteys Ave At Killingly St,1,Weapons,2018-01-11 11:30:00,ECuellar,11-47-8-C,POSSESSION OF FA COMMIT CTRL SUB VIOL,2018,11,30,11,,
2017-00105564,1,145 Dodge St,10,"Assault, Simple",2017-10-09 07:46:00,LFernandez,11-5-3,SIMPLE ASSAULT/BATTERY,2017,7,46,9,-71.42466570967741,41.8134981612903
2018-00022759,1,100 Randall Sq,3,"Larceny, Other",2018-03-04 07:14:33,DHull,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,7,14,4,-71.4103686,41.83868070000001
2017-00105700,1,Bodell Ave At Hartford Ave,10,Traffic Violation,2017-10-09 16:46:00,JButen,31-3-1,Operation of Unregistered Vehicle,2017,16,46,9,,
2017-00128379,1,115 Elmdale Ave,12,Burglary,2017-12-07 12:44:59,JKane,11-8-2,Parking or MV Violation,2017,12,44,7,-71.4484772,41.80750310000001
2018-00029582,1,75 Goddard St,3,Traffic Violation,2018-03-24 04:17:00,KRosado,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,4,17,24,-71.4209009,41.834805
2018-00029398,1,10 Harkness St,3,"Larceny, Other",2018-03-23 17:32:00,MSepe,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,17,32,23,-71.4342733,41.8168098
2018-00029569,0,383 Admiral St,3,Liquor Law Violations,2018-03-24 03:00:00,JLeroux,Not Used,No violations,2018,3,0,24,-71.42871,41.8463383
2018-00029351,1,Westminster St At 10 ,3,Traffic Violation,2018-03-23 15:23:00,MTroia,31-8-3,Improper Use of Evidence of Registration or Certificate,2018,15,23,23,-71.442818,41.816745000000004
2018-00029462,1,903 Chalkstone Ave,3,"Assault, Simple",2018-03-23 21:42:00,MVittorioso,11-5-3,SIMPLE ASSAULT OR BATTERY,2018,21,42,23,-71.4374122,41.8332162
2018-00029270,1,30 Dewey St,3,Larceny from Motor Vehicle,2018-03-23 10:57:00,EFernandez,11-41-1,LARCENY/U $1500 - FROM MV,2018,10,57,23,-71.45267170000002,41.8144835
2018-00029367,1,533 Elmwood Ave,3,Tresspassing,2018-03-23 16:02:00,GValletta,11-44-28,TRESPASS UPON PREMISES/PRIVATE REC. FACILITIES,2018,16,2,23,-71.4267698,41.7975985
2018-00022839,1,48 Parkis Ave,3,"Assault, Simple",2018-03-04 12:33:08,KWigginton,11-5-3,SIMPLE ASSAULT/BATTERY,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Assault, Simple",2018-03-04 12:33:08,KWigginton,11-5-3,SIMPLE ASSAULT/BATTERY,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Assault, Simple",2018-03-04 12:33:08,KWigginton,11-5-3,SIMPLE ASSAULT/BATTERY,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Assault, Simple",2018-03-04 12:33:08,KWigginton,11-5-3,SIMPLE ASSAULT/BATTERY,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Assault, Simple",2018-03-04 12:33:08,KWigginton,11-5-3,SIMPLE ASSAULT/BATTERY,2018,12,33,4,-71.4235585,41.808936
2018-00022839,1,48 Parkis Ave,3,"Assault, Simple",2018-03-04 12:33:08,KWigginton,11-5-3,SIMPLE ASSAULT/BATTERY,2018,12,33,4,-71.4235585,41.808936
2018-00029351,1,Westminster St At 10 ,3,Traffic Violation,2018-03-23 15:23:00,MTroia,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,15,23,23,-71.442818,41.816745000000004
2018-00029387,0,3 Doane Ave,3,D.O.A.,2018-03-23 17:02:00,MCastillo,Not Used,No violations,2018,17,2,23,-71.3913641858427,41.8363764761307
2018-00018219,0,Atwells Aveat John Partington Way ,2,Disturbance,2018-02-20 18:09:00,LPelaez,Not Used,No violations,2018,18,9,20,,
2018-00029322,1,27 Glenbridge Ave,3,"Assault, Simple",2018-03-23 13:47:11,JDalton,11-5-3,SIMPLE ASSAULT/BATTERY,2018,13,47,23,-71.4591552,41.82516079999999
2017-00128591,1,593 Eddy St,12,"Assault, Simple",2017-12-07 22:50:00,OCastro,11-5-3,SIMPLE ASSAULT/BATTERY,2017,22,50,7,-71.40937109999999,41.8116811
2018-00018369,1,Webster Aveatprogress Ave ,2,Traffic Violation,2018-02-21 02:46:00,JNajarian,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,2,46,21,,
2018-00029563,1,385 S Main St,3,RI Statute Violation,2018-03-24 02:18:00,AMoore,44-19-27,Do Not Use - Repealed,2018,2,18,24,-71.40379653125,41.821070875
2017-00128635,1,Douglas Ave At Oneil St,12,DUI,2017-12-08 01:11:00,KEndres,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2017,1,11,8,,
2018-00029421,0,163 Gesler Street ,3,Article Found,2018-03-23 18:54:00,Central Station,Not Used,No violations,2018,18,54,23,-71.4336220127667,41.8223983388554
2018-00029560,1,883 Eddy St,3,DUI,2018-03-24 02:32:00,KBarth-Cafaro,31-27-2.1,Chemical Test Refusal,2018,2,32,24,-71.406997,41.803919799999996
2017-00110054,0,165 Hanover St,10,Request for Assistance,2017-10-20 15:46:00,LPelaez,Not Used,No violations,2017,15,46,20,-71.43101899999998,41.808869
2018-00022834,1,Cranston St At Diamond St,3,Traffic Violation,2018-03-04 11:56:00,KMatsumoto,31-11-20,Permitting Unauthorized Person to Drive,2018,11,56,4,,
2017-00114854,1,Atwells Ave At Manton Ave,10,"Larceny, Other",2017-10-31 22:46:15,SRomano,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2017,22,46,31,,
2018-00020794,1,960 Broad ,2,"Larceny, Purse-snatching",2018-02-27 13:42:00,ECuri,11-41-7,LARCENY FROM THE PERSON - PURSE SNATCHING,2018,13,42,27,-71.70768699999998,41.959354
2017-00105796,1,164 Delaine St,10,"Assault, Aggravated",2017-10-09 21:44:00,GValletta,11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,2017,21,44,9,-71.4438240234255,41.8183665253456
2017-00105835,1,50 Carr St,10,Vandalism,2017-10-10 01:21:00,MSepe,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2017,1,21,10,-71.4060533,41.7885445
2017-00128420,1,Fricker Statbroad St ,12,Disorderly Conduct,2017-12-07 15:06:00,GKue,11-45-1,DISORDERLY CONDUCT,2017,15,6,7,,
2017-00121386,1,427 Public St,11,Vandalism,2017-11-18 10:32:00,ITavarez,11-44-1,VANDAL/MALIC. INJURY TO PROP-3RD OFF,2017,10,32,18,-71.4156964235279,41.8054285845062
2017-00128334,1,75 Linwood Ave,12,Vandalism,2017-12-07 10:04:00,Central Station,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2017,10,4,7,-71.437217,41.8075626
2017-00126276,1,211 Greeley St,12,Larceny from Building,2017-12-01 17:34:00,KRichards,11-41-1,LARCENY/U $1500 - FROM BLD,2017,17,34,1,-71.4232786,41.8560318
2018-00003854,1,25 Tobey St,1,Drug Offenses,2018-01-11 20:27:00,BAuclair,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2018,20,27,11,-71.43573133333331,41.819835333333295
2018-00022958,1,Prairie Ave At Thurbers Ave,3,Traffic Violation,2018-03-04 19:22:00,JBenros,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",2018,19,22,4,,
2018-00029322,1,27 Glenbridge Ave,3,RI Statute Violation,2018-03-23 13:47:11,JDalton,11-35-14,REFUSE/RELINQUISH TELEPHONE - W/O DMG,2018,13,47,23,-71.4591552,41.82516079999999
2017-00124489,1,18 Luongo Memorial Sq,11,Larceny from Motor Vehicle,2017-11-26 21:12:00,DLiu,11-41-1,LARCENY/U $1500 - FROM MV,2017,21,12,26,-71.42622890000001,41.8186588
2017-00500119,1,175 Reservoir Ave,10,Larceny from Motor Vehicle,2017-10-17 21:45:26,RPapa,11-41-1,LARCENY/U $1500 - FROM MV,2017,21,45,17,-71.42848459999998,41.791270399999995
2017-00128508,1,325 Valley St,12,"Assault, Simple",2017-12-07 18:26:00,EBreault,11-5-3,SIMPLE ASSAULT OR BATTERY,2017,18,26,7,-71.4382733,41.8256525
2018-00029424,1,47 Dartmouth Ave,3,"Larceny, Other",2018-03-23 18:56:00,RByfield,11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,2018,18,56,23,-71.42312981918491,41.8085473214526
2018-00029237,1,302 Douglas Ave,3,Traffic Violation,2018-03-23 08:26:00,VLopez,31-11-18,"Driving after Denial, Suspension or Revocation of License",2018,8,26,23,-71.42560588235291,41.8389293529412
2018-00029454,1,127 Dorrance St,3,Burglary,2018-03-23 21:13:00,TSavard,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,2018,21,13,23,-71.4100367,41.8221366
2018-00029454,1,127 Dorrance St,3,Burglary,2018-03-23 21:13:00,TSavard,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,2018,21,13,23,-71.4100367,41.8221366
2018-00029469,1,Westminster St At Memorial Blvd,3,DUI,2018-03-23 22:13:00,JLopes,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),2018,22,13,23,,
2018-00003854,1,25 Tobey St,1,Drug Offenses,2018-01-11 20:27:00,BAuclair,21-28-4.01.1-A2,MANUFAC/POSS/DELIVER COCAINE-1OZ-1KG,2018,20,27,11,-71.43573133333331,41.819835333333295
2018-00029525,1,46 Eaton St,3,Municipal Code Violation,2018-03-24 01:07:00,DJohnson,Sec. 23-32.  ," Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",2018,1,7,24,-71.4290954602728,41.840990373012296
2017-00128601,1,Douglas Ave At Chalkstone Ave,12,Warrant\Capias,2017-12-07 23:23:00,SCampbell,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2017,23,23,7,,
2017-00105619,1,361 Charles St,10,Vandalism,2017-10-09 11:43:37,DHull,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,2017,11,43,9,-71.417815,41.842371
2017-00500065,1,1 Providence Pl,10,Larceny from Motor Vehicle,2017-10-05 12:44:09,SPartridge,11-41-1,LARCENY/U $1500 - FROM MV,2017,12,44,5,-71.4166245,41.827677
2018-00029372,1,68 Vernon St,3,Burglary,2018-03-23 16:22:00,MSepe,11-8-2,B&E DWELLING HOUSE W/O CONSENT,2018,16,22,23,-71.4261745981716,41.8194047261536
2018-00003899,1,157 Webster Ave,1,"Assault, Simple",2018-01-11 23:18:00,MPlace,11-5-3,SIMPLE ASSAULT/BATTERY,2018,23,18,11,-71.44983559999999,41.8114376
2018-00029488,0,64 Dartmouth Av ,3,Missing Persons,2018-03-23 23:22:00,Central Station,Not Used,No violations,2018,23,22,23,-71.4232059489688,41.8083805570312
